x,y
160.0,376.0
136.0,368.0
112.0,356.0
116.0,348.0
116.0,340.0
284.0,320.0
270.0,300.0
264.0,284.0
257.0,268.0
250.0,240.0
237.0,210.0
248.0,212.0
264.0,188.0
264.0,172.0
228.0,160.0
248.0,144.0
260.0,128.0
244.0,144.0
176.0,164.0
268.0,140.0
248.0,184.0
144.0,180.0
140.0,148.0
132.0,160.0
128.0,160.0
252.0,164.0
206.0,202.0
180.0,188.0
168.0,172.0
172.0,152.0
172.0,128.0
152.0,128.0
144.0,124.0
132.0,128.0
232.0,148.0
224.0,132.0
240.0,156.0
244.0,136.0
132.0,124.0
128.0,124.0
264.0,108.0
260.0,108.0
268.0,96.0
280.0,104.0
270.0,96.0
284.0,88.0
296.0,84.0
308.0,80.0
252.0,72.0
280.0,68.0
156.0,124.0
168.0,116.0
172.0,116.0
172.0,112.0
180.0,100.0
144.0,132.0
280.0,148.0
248.0,148.0
248.0,148.0
136.0,148.0
136.0,140.0
132.0,140.0
124.0,136.0
220.0,140.0
236.0,124.0
346.0,120.0
160.0,128.0
284.0,136.0
292.0,132.0
312.0,120.0
296.0,128.0
252.0,144.0
288.0,144.0
284.0,148.0
284.0,148.0
288.0,144.0
288.0,148.0
248.0,152.0
292.0,152.0
288.0,156.0
288.0,156.0
296.0,152.0
252.0,152.0
292.0,152.0
292.0,152.0
292.0,152.0
292.0,152.0
292.0,152.0
292.0,152.0
256.0,152.0
256.0,152.0
296.0,152.0
296.0,152.0
300.0,152.0
368.0,140.0
360.0,128.0
364.0,116.0
300.0,152.0
300.0,152.0
300.0,152.0
300.0,152.0
304.0,152.0
304.0,152.0
304.0,152.0
304.0,152.0
296.0,152.0
304.0,152.0
308.0,152.0
304.0,152.0
308.0,152.0
308.0,152.0
308.0,152.0
312.0,148.0
312.0,148.0
312.0,148.0
308.0,152.0
308.0,152.0
312.0,148.0
330.0,144.0
312.0,152.0
312.0,152.0
308.0,156.0
316.0,156.0
316.0,156.0
316.0,156.0
316.0,180.0
308.0,216.0
300.0,168.0
308.0,216.0
312.0,212.0
308.0,188.0
304.0,200.0
296.0,208.0
384.0,236.0
324.0,232.0
320.0,220.0
328.0,216.0
328.0,212.0
326.0,200.0
312.0,204.0
288.0,208.0
280.0,216.0
268.0,212.0
298.0,332.0
280.0,316.0
280.0,298.0
272.0,292.0
