x,y
332.0,64.0
332.0,64.0
332.0,64.0
328.0,68.0
328.0,68.0
336.0,64.0
332.0,64.0
340.0,62.0
332.0,64.0
340.0,60.0
340.0,60.0
336.0,60.0
336.0,60.0
336.0,60.0
344.0,56.0
344.0,56.0
340.0,56.0
348.0,52.0
340.0,56.0
348.0,52.0
340.0,56.0
344.0,52.0
344.0,56.0
352.0,52.0
352.0,52.0
348.0,52.0
348.0,52.0
348.0,52.0
348.0,52.0
356.0,48.0
352.0,48.0
352.0,48.0
352.0,48.0
352.0,48.0
360.0,48.0
352.0,48.0
356.0,48.0
356.0,48.0
356.0,44.0
356.0,44.0
364.0,44.0
360.0,44.0
360.0,44.0
360.0,44.0
360.0,44.0
360.0,44.0
368.0,40.0
368.0,40.0
360.0,44.0
360.0,44.0
368.0,40.0
372.0,36.0
368.0,40.0
368.0,40.0
368.0,40.0
376.0,36.0
372.0,36.0
372.0,36.0
372.0,40.0
368.0,40.0
376.0,36.0
380.0,32.0
380.0,32.0
380.0,32.0
372.0,36.0
380.0,32.0
376.0,32.0
380.0,32.0
380.0,32.0
380.0,32.0
380.0,24.0
380.0,24.0
384.0,28.0
380.0,24.0
384.0,28.0
384.0,24.0
384.0,24.0
384.0,24.0
384.0,24.0
384.0,24.0
384.0,24.0
384.0,24.0
384.0,24.0
384.0,24.0
384.0,24.0
392.0,24.0
392.0,24.0
396.0,20.0
396.0,20.0
396.0,20.0
392.0,24.0
392.0,24.0
400.0,20.0
400.0,20.0
400.0,20.0
400.0,20.0
400.0,20.0
400.0,20.0
400.0,12.0
408.0,16.0
400.0,20.0
400.0,20.0
400.0,20.0
404.0,16.0
404.0,20.0
412.0,0.0
412.0,16.0
408.0,12.0
408.0,12.0
408.0,12.0
408.0,12.0
408.0,12.0
412.0,12.0
416.0,12.0
412.0,12.0
412.0,12.0
416.0,12.0
412.0,12.0
412.0,12.0
412.0,12.0
412.0,12.0
420.0,12.0
420.0,12.0
416.0,12.0
416.0,12.0
416.0,12.0
412.0,12.0
424.0,8.0
422.0,4.0
424.0,8.0
424.0,8.0
424.0,8.0
404.0,12.0
406.0,12.0
428.0,8.0
424.0,8.0
424.0,4.0
426.0,4.0
426.0,4.0
428.0,8.0
428.0,8.0
424.0,6.0
424.0,6.0
424.0,4.0
428.0,4.0
428.0,4.0
428.0,4.0
428.0,8.0
428.0,4.0
428.0,8.0
430.0,4.0
436.0,0.0
440.0,0.0
440.0,0.0
428.0,4.0
432.0,4.0
432.0,4.0
432.0,4.0
432.0,4.0
444.0,0.0
428.0,4.0
436.0,4.0
428.0,4.0
444.0,0.0
444.0,0.0
428.0,4.0
428.0,4.0
428.0,4.0
430.0,4.0
432.0,4.0
432.0,4.0
430.0,4.0
432.0,4.0
432.0,4.0
444.0,0.0
392.0,4.0
448.0,0.0
392.0,4.0
392.0,4.0
392.0,4.0
388.0,4.0
352.0,4.0
352.0,4.0
400.0,0.0
400.0,0.0
400.0,0.0
400.0,0.0
400.0,0.0
388.0,0.0
388.0,0.0
388.0,0.0
360.0,0.0
356.0,0.0
356.0,0.0
356.0,0.0
348.0,0.0
348.0,0.0
344.0,0.0
344.0,0.0
344.0,0.0
344.0,0.0
348.0,0.0
348.0,0.0
348.0,0.0
344.0,0.0
344.0,0.0
344.0,0.0
336.0,0.0
336.0,0.0
340.0,0.0
336.0,0.0
336.0,0.0
340.0,0.0
340.0,0.0
340.0,0.0
340.0,0.0
332.0,0.0
332.0,0.0
338.0,0.0
336.0,0.0
332.0,0.0
336.0,0.0
332.0,0.0
332.0,0.0
414.0,112.0
328.0,0.0
413.0,111.0
148.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
322.0,0.0
322.0,0.0
322.0,0.0
320.0,0.0
320.0,0.0
312.0,0.0
324.0,0.0
324.0,0.0
326.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
324.0,0.0
326.0,0.0
326.0,0.0
324.0,0.0
326.0,0.0
316.0,0.0
320.0,0.0
324.0,0.0
320.0,0.0
320.0,0.0
320.0,0.0
312.0,0.0
316.0,0.0
296.0,0.0
292.0,0.0
300.0,0.0
300.0,0.0
294.0,0.0
300.0,0.0
292.0,0.0
260.0,0.0
256.0,0.0
256.0,0.0
272.0,0.0
264.0,0.0
276.0,0.0
304.0,0.0
328.0,0.0
362.0,0.0
156.0,0.0
304.0,0.0
240.0,0.0
264.0,0.0
268.0,0.0
304.0,0.0
272.0,0.0
312.0,0.0
376.0,0.0
488.0,0.0
474.0,32.0
480.0,24.0
452.0,48.0
428.0,68.0
448.0,56.0
464.0,80.0
444.0,104.0
496.0,116.0
408.0,0.0
412.0,0.0
392.0,4.0
396.0,0.0
328.0,0.0
328.0,0.0
304.0,0.0
332.0,0.0
328.0,0.0
330.0,0.0
496.0,8.0
472.0,44.0
464.0,84.0
484.0,100.0
512.0,116.0
448.0,132.0
460.0,12.0
472.0,156.0
468.0,36.0
504.0,50.0
476.0,12.0
472.0,0.0
472.0,0.0
460.0,0.0
484.0,0.0
488.0,0.0
324.0,0.0
320.0,0.0
320.0,0.0
308.0,0.0
200.0,0.0
220.0,0.0
220.0,0.0
224.0,0.0
228.0,0.0
304.0,0.0
308.0,0.0
320.0,0.0
472.0,0.0
484.0,0.0
476.0,0.0
484.0,52.0
500.0,80.0
536.0,96.0
496.0,128.0
400.0,4.0
432.0,24.0
