x,y
140.0,12.0
148.0,16.0
136.0,16.0
160.0,16.0
156.0,16.0
132.0,20.0
152.0,16.0
144.0,20.0
140.0,20.0
144.0,20.0
148.0,20.0
140.0,20.0
168.0,20.0
148.0,20.0
148.0,20.0
152.0,20.0
140.0,24.0
140.0,24.0
178.0,22.0
176.0,22.0
144.0,24.0
164.0,22.0
148.0,24.0
160.0,24.0
168.0,24.0
168.0,24.0
148.0,24.0
148.0,24.0
160.0,24.0
156.0,28.0
152.0,24.0
164.0,28.0
160.0,28.0
160.0,28.0
164.0,28.0
160.0,28.0
172.0,28.0
160.0,28.0
164.0,28.0
166.0,28.0
164.0,28.0
168.0,32.0
168.0,32.0
192.0,32.0
164.0,32.0
164.0,32.0
168.0,32.0
168.0,36.0
168.0,32.0
172.0,36.0
172.0,36.0
172.0,36.0
172.0,36.0
180.0,36.0
172.0,40.0
176.0,32.0
176.0,32.0
176.0,36.0
176.0,36.0
180.0,36.0
180.0,36.0
204.0,40.0
188.0,36.0
180.0,44.0
192.0,36.0
192.0,40.0
188.0,40.0
196.0,40.0
196.0,40.0
188.0,48.0
196.0,48.0
208.0,48.0
192.0,52.0
196.0,52.0
208.0,52.0
192.0,56.0
208.0,52.0
184.0,60.0
176.0,60.0
216.0,56.0
216.0,60.0
212.0,60.0
180.0,60.0
188.0,56.0
216.0,60.0
201.0,56.0
220.0,60.0
258.0,62.0
180.0,64.0
252.0,60.0
252.0,60.0
192.0,60.0
252.0,60.0
200.0,60.0
176.0,68.0
188.0,66.0
180.0,68.0
180.0,68.0
180.0,68.0
180.0,68.0
260.0,60.0
228.0,64.0
252.0,64.0
196.0,64.0
228.0,68.0
210.0,66.0
248.0,60.0
200.0,64.0
204.0,64.0
216.0,64.0
248.0,60.0
196.0,68.0
208.0,64.0
256.0,60.0
212.0,65.0
220.0,66.0
204.0,68.0
204.0,68.0
208.0,68.0
240.0,68.0
240.0,68.0
208.0,68.0
220.0,68.0
252.0,64.0
252.0,64.0
252.0,64.0
216.0,68.0
232.0,68.0
232.0,68.0
237.0,68.0
244.0,72.0
244.0,72.0
216.0,72.0
216.0,72.0
218.0,72.0
248.0,72.0
248.0,72.0
252.0,72.0
232.0,72.0
252.0,72.0
240.0,72.0
256.0,72.0
224.0,76.0
224.0,76.0
256.0,76.0
232.0,76.0
252.0,76.0
236.0,76.0
236.0,76.0
240.0,76.0
260.0,76.0
236.0,76.0
260.0,76.0
264.0,76.0
260.0,76.0
268.0,76.0
268.0,76.0
268.0,76.0
268.0,76.0
268.0,76.0
268.0,76.0
276.0,76.0
256.0,76.0
288.0,76.0
251.0,76.0
280.0,76.0
256.0,76.0
284.0,76.0
256.0,76.0
254.0,76.0
257.0,76.0
284.0,76.0
284.0,76.0
284.0,76.0
284.0,76.0
260.0,76.0
260.0,76.0
260.0,76.0
292.0,76.0
288.0,74.0
268.0,80.0
300.0,76.0
296.0,76.0
288.0,76.0
300.0,76.0
284.0,76.0
284.0,76.0
296.0,76.0
296.0,76.0
300.0,76.0
272.0,76.0
300.0,76.0
300.0,78.0
276.0,76.0
274.0,70.0
296.0,76.0
296.0,78.0
296.0,76.0
280.0,76.0
276.0,80.0
280.0,76.0
276.0,80.0
276.0,80.0
280.0,80.0
280.0,80.0
272.0,80.0
272.0,80.0
280.0,80.0
288.0,82.0
276.0,84.0
276.0,84.0
276.0,82.0
280.0,84.0
284.0,84.0
280.0,84.0
272.0,88.0
276.0,84.0
288.0,84.0
284.0,84.0
292.0,84.0
288.0,84.0
288.0,84.0
288.0,84.0
280.0,84.0
291.0,76.0
280.0,84.0
280.0,84.0
280.0,84.0
280.0,84.0
280.0,84.0
280.0,84.0
280.0,88.0
284.0,84.0
284.0,84.0
288.0,84.0
288.0,84.0
284.0,84.0
284.0,84.0
288.0,84.0
284.0,84.0
287.0,76.0
292.0,84.0
292.0,84.0
280.0,88.0
280.0,88.0
300.0,86.0
296.0,88.0
292.0,88.0
284.0,92.0
284.0,96.0
284.0,96.0
288.0,96.0
284.0,100.0
292.0,104.0
304.0,104.0
296.0,108.0
288.0,108.0
292.0,112.0
300.0,112.0
292.0,112.0
316.0,114.0
300.0,116.0
308.0,116.0
300.0,120.0
296.0,124.0
304.0,124.0
312.0,124.0
304.0,128.0
304.0,128.0
292.0,136.0
288.0,140.0
296.0,140.0
296.0,144.0
296.0,144.0
300.0,148.0
320.0,148.0
312.0,148.0
276.0,156.0
280.0,156.0
288.0,156.0
336.0,156.0
284.0,160.0
304.0,160.0
276.0,164.0
280.0,164.0
316.0,160.0
328.0,164.0
280.0,168.0
280.0,168.0
320.0,164.0
284.0,168.0
328.0,168.0
332.0,168.0
280.0,172.0
320.0,170.0
284.0,172.0
284.0,172.0
288.0,172.0
288.0,172.0
288.0,172.0
292.0,172.0
292.0,172.0
288.0,176.0
292.0,176.0
296.0,176.0
296.0,176.0
300.0,176.0
296.0,180.0
296.0,180.0
300.0,180.0
300.0,180.0
300.0,184.0
300.0,184.0
304.0,184.0
304.0,184.0
308.0,184.0
308.0,184.0
308.0,180.0
312.0,184.0
312.0,184.0
308.0,188.0
312.0,188.0
312.0,188.0
312.0,188.0
316.0,188.0
316.0,188.0
316.0,188.0
320.0,188.0
320.0,188.0
316.0,192.0
316.0,192.0
316.0,192.0
320.0,192.0
320.0,192.0
320.0,192.0
320.0,192.0
324.0,192.0
324.0,192.0
324.0,192.0
328.0,192.0
332.0,192.0
336.0,192.0
328.0,196.0
328.0,196.0
328.0,196.0
332.0,196.0
336.0,196.0
336.0,196.0
340.0,196.0
340.0,196.0
332.0,200.0
336.0,200.0
340.0,200.0
340.0,200.0
340.0,200.0
360.0,200.0
356.0,200.0
356.0,200.0
356.0,200.0
348.0,200.0
344.0,204.0
348.0,204.0
348.0,204.0
352.0,204.0
352.0,204.0
360.0,204.0
352.0,204.0
352.0,204.0
348.0,208.0
352.0,208.0
352.0,208.0
352.0,208.0
356.0,208.0
356.0,208.0
360.0,208.0
360.0,208.0
364.0,208.0
364.0,208.0
364.0,208.0
368.0,208.0
364.0,212.0
360.0,212.0
364.0,212.0
364.0,212.0
368.0,212.0
368.0,212.0
372.0,212.0
372.0,212.0
376.0,212.0
380.0,212.0
380.0,212.0
380.0,212.0
376.0,216.0
380.0,216.0
376.0,216.0
380.0,216.0
384.0,216.0
384.0,216.0
384.0,220.0
384.0,220.0
384.0,220.0
388.0,220.0
392.0,220.0
392.0,220.0
392.0,220.0
392.0,224.0
392.0,224.0
396.0,224.0
388.0,228.0
388.0,228.0
388.0,228.0
392.0,228.0
392.0,228.0
396.0,228.0
388.0,232.0
388.0,232.0
388.0,232.0
392.0,232.0
392.0,232.0
404.0,228.0
404.0,228.0
392.0,232.0
400.0,228.0
404.0,224.0
404.0,228.0
404.0,228.0
408.0,224.0
408.0,224.0
408.0,224.0
408.0,224.0
408.0,224.0
408.0,224.0
408.0,224.0
408.0,224.0
412.0,224.0
412.0,220.0
416.0,220.0
416.0,220.0
416.0,220.0
416.0,220.0
416.0,220.0
412.0,224.0
416.0,224.0
416.0,224.0
420.0,220.0
420.0,220.0
416.0,224.0
416.0,224.0
416.0,224.0
420.0,224.0
420.0,224.0
420.0,224.0
420.0,224.0
420.0,224.0
424.0,224.0
424.0,224.0
424.0,224.0
428.0,220.0
424.0,224.0
424.0,224.0
428.0,224.0
432.0,224.0
432.0,224.0
432.0,224.0
428.0,228.0
428.0,228.0
432.0,228.0
432.0,228.0
432.0,228.0
432.0,228.0
428.0,232.0
436.0,228.0
436.0,228.0
432.0,232.0
436.0,232.0
436.0,232.0
436.0,232.0
436.0,232.0
432.0,232.0
440.0,232.0
440.0,232.0
440.0,232.0
436.0,232.0
436.0,232.0
440.0,232.0
444.0,232.0
436.0,236.0
440.0,236.0
444.0,236.0
444.0,236.0
